"finding_id","source_id","citation","country","setting","population","study_design","pathogen_scope_type","pathogen_targets","finding_applicability","finding_category","source_signal","hospital_acquired_definition","diagnostic_method","surveillance_frame_timing","comparator_reference_group","finding_text","exposure_transmission_context","predictors_risk_factors","labs_vitals_radiology","environmental_structural_factors","space_time_overlap_clustering","clinical_outcomes","operational_burden","differential_diagnosis_coinfection","seasonal_temporal_pattern","effect_sizes_model_performance","adjustment_level","key_limitations","study_reported_implication","codeblue_translation","translation_tags"
"malik_s_2025_f01","malik_s_2025","Malik S et al. (2025) PMID: 41333356","India","Oncology ICU","711 adults","Prospective cohort","mixed_viral_bacterial_nosocomial_pneumonia","influenza","influenza_only","pathogen_specific_finding","influenza_specific_findings","HAP/VAP >48h post-admission or intubation","VITEK-2; multiplex PCR","Single-center ICU cohort","Overall cohort; flu subset vs other viral pneumonia within cohort","Flu represented 14% of viral pneumonia cases and contributed to severe ICU burden","New imaging infiltrates plus sepsis used as deterioration context; ICU-acquired pneumonia setting","Post-surgical status; COPD; oncology immunosuppression","ANC <500 associated with 9.1x risk; imaging infiltrates mentioned","ICU setting only; no detailed ward architecture reported","NR","High mortality; required MV mirroring overall cohort; prolonged ICU/hospital stay","HAP added 9.6 days to hospital stay and 4.5 days to ICU stay; rapid multiplexing demand","Overlap with Gram-negative ICU bacteria; Klebsiella and Pseudomonas common","Monsoon peak July-September; year-round baseline risk","HR 9.0 for pneumonia death overall; VAP 18.7/1000 days","Not clear from summary if multivariable for all findings","Highly specific oncology ICU population; flu-stratified details limited","Severe nosocomial respiratory infection in oncology ICU is strongly associated with immunosuppression, neutropenia, ventilation burden, and prolonged stay","Good for high-risk oncology ward logic and seasonal preparedness, but not a clean influenza-only paper","risk_profile|resource_strain|oncology_icu|seasonality"
"malik_s_2025_f02","malik_s_2025","Malik S et al. (2025) PMID: 41333356","India","Oncology ICU","711 adults","Prospective cohort","mixed_viral_bacterial_nosocomial_pneumonia","sars_cov_2|rhinovirus_enterovirus","non_influenza_only","pathogen_specific_finding","non_influenza_findings","HAP/VAP >48h post-admission or intubation","VITEK-2; multiplex PCR","Single-center ICU cohort","Overall cohort; flu subset vs other viral pneumonia within cohort","48.2% nosocomial pneumonia overall; Rhino/Entero 27 and SARS-CoV-2 15 reported","New imaging infiltrates plus sepsis used as deterioration context; ICU-acquired pneumonia setting","Post-surgical status; COPD; oncology immunosuppression","ANC <500 associated with 9.1x risk; imaging infiltrates mentioned","ICU setting only; no detailed ward architecture reported","NR","High mortality; required MV mirroring overall cohort; prolonged ICU/hospital stay","HAP added 9.6 days to hospital stay and 4.5 days to ICU stay; rapid multiplexing demand","Overlap with Gram-negative ICU bacteria; Klebsiella and Pseudomonas common","Monsoon peak July-September; year-round baseline risk","HR 9.0 for pneumonia death overall; VAP 18.7/1000 days","Not clear from summary if multivariable for all findings","Highly specific oncology ICU population; flu-stratified details limited","Severe nosocomial respiratory infection in oncology ICU is strongly associated with immunosuppression, neutropenia, ventilation burden, and prolonged stay","Good for high-risk oncology ward logic and seasonal preparedness, but not a clean influenza-only paper","risk_profile|resource_strain|oncology_icu|seasonality"
"malik_s_2025_f03","malik_s_2025","Malik S et al. (2025) PMID: 41333356","India","Oncology ICU","711 adults","Prospective cohort","mixed_viral_bacterial_nosocomial_pneumonia","influenza|sars_cov_2|rhinovirus_enterovirus","shared_both","shared_context","study_reported_implication","HAP/VAP >48h post-admission or intubation","VITEK-2; multiplex PCR","Single-center ICU cohort","Overall cohort; flu subset vs other viral pneumonia within cohort","Severe nosocomial respiratory infection in oncology ICU is strongly associated with immunosuppression, neutropenia, ventilation burden, and prolonged stay","New imaging infiltrates plus sepsis used as deterioration context; ICU-acquired pneumonia setting","Post-surgical status; COPD; oncology immunosuppression","ANC <500 associated with 9.1x risk; imaging infiltrates mentioned","ICU setting only; no detailed ward architecture reported","NR","High mortality; required MV mirroring overall cohort; prolonged ICU/hospital stay","HAP added 9.6 days to hospital stay and 4.5 days to ICU stay; rapid multiplexing demand","Overlap with Gram-negative ICU bacteria; Klebsiella and Pseudomonas common","Monsoon peak July-September; year-round baseline risk","HR 9.0 for pneumonia death overall; VAP 18.7/1000 days","Not clear from summary if multivariable for all findings","Highly specific oncology ICU population; flu-stratified details limited","Severe nosocomial respiratory infection in oncology ICU is strongly associated with immunosuppression, neutropenia, ventilation burden, and prolonged stay","Good for high-risk oncology ward logic and seasonal preparedness, but not a clean influenza-only paper","risk_profile|resource_strain|oncology_icu|seasonality"
"malik_s_2025_f04","malik_s_2025","Malik S et al. (2025) PMID: 41333356","India","Oncology ICU","711 adults","Prospective cohort","mixed_viral_bacterial_nosocomial_pneumonia","influenza|sars_cov_2|rhinovirus_enterovirus","comparative","comparative_interpretation","comparative_findings","HAP/VAP >48h post-admission or intubation","VITEK-2; multiplex PCR","Single-center ICU cohort","Overall cohort; flu subset vs other viral pneumonia within cohort","Flu interpreted within broader viral/bacterial ICU pneumonia mix","New imaging infiltrates plus sepsis used as deterioration context; ICU-acquired pneumonia setting","Post-surgical status; COPD; oncology immunosuppression","ANC <500 associated with 9.1x risk; imaging infiltrates mentioned","ICU setting only; no detailed ward architecture reported","NR","High mortality; required MV mirroring overall cohort; prolonged ICU/hospital stay","HAP added 9.6 days to hospital stay and 4.5 days to ICU stay; rapid multiplexing demand","Overlap with Gram-negative ICU bacteria; Klebsiella and Pseudomonas common","Monsoon peak July-September; year-round baseline risk","HR 9.0 for pneumonia death overall; VAP 18.7/1000 days","Not clear from summary if multivariable for all findings","Highly specific oncology ICU population; flu-stratified details limited","Severe nosocomial respiratory infection in oncology ICU is strongly associated with immunosuppression, neutropenia, ventilation burden, and prolonged stay","Good for high-risk oncology ward logic and seasonal preparedness, but not a clean influenza-only paper","risk_profile|resource_strain|oncology_icu|seasonality"
"jimenez_juarez_2025_f01","jimenez_juarez_2025","Jiménez-Juárez et al. (2025) DOI: 10.3390/v17060771","Mexico","Tertiary pediatric hospital","212 children","Retrospective cohort","pediatric_influenza_plus_other_respiratory_viruses","influenza_a_h1n1|influenza_a_h3n2|influenza","influenza_only","pathogen_specific_finding","influenza_specific_findings","Nosocomial acquisition post-admission; associated with MV risk","PCR; logistic regression","Pediatric hospital cohort","Within-cohort severity comparisons","AH1N1 36.8% and H3N2 26.9%; paradoxical breathing flagged as key flu deterioration sign","Paradoxical breathing and hypotension as bedside escalation context","Nosocomial status; neuro/cardiac comorbidity; age 1-4 years peak vulnerability","Leukocytes 12.6k; neutrophils 49-59%; paradoxical breathing; hypotension","NR","NR","21.2% MV overall; mortality 10.3% in infants <1 year; median stay 6-16 days","High PICU and ventilator reliance","Bacterial coinfection increased MV risk","Peak Dec/Jan; year-round pediatric baseline","Descriptive proportions; logistic regression used but exact adjusted estimates not in source summary","Logistic regression reported","Single-center pediatric study; summary lacks full adjusted table","Pediatric hospital-acquired influenza and related viral disease can deteriorate rapidly, especially in young children with comorbidity and paradoxical breathing","Useful for pediatric CodeBlue rules, bedside deterioration triggers, and pediatric seasonal preparedness","risk_profile|ward_vuln|pediatrics|rapid_escalation"
"jimenez_juarez_2025_f02","jimenez_juarez_2025","Jiménez-Juárez et al. (2025) DOI: 10.3390/v17060771","Mexico","Tertiary pediatric hospital","212 children","Retrospective cohort","pediatric_influenza_plus_other_respiratory_viruses","rsv|rhinovirus","non_influenza_only","pathogen_specific_finding","non_influenza_findings","Nosocomial acquisition post-admission; associated with MV risk","PCR; logistic regression","Pediatric hospital cohort","Within-cohort severity comparisons","25.5% coinfection with RSV/Rhino; non-flu viruses also linked to severity","Paradoxical breathing and hypotension as bedside escalation context","Nosocomial status; neuro/cardiac comorbidity; age 1-4 years peak vulnerability","Leukocytes 12.6k; neutrophils 49-59%; paradoxical breathing; hypotension","NR","NR","21.2% MV overall; mortality 10.3% in infants <1 year; median stay 6-16 days","High PICU and ventilator reliance","Bacterial coinfection increased MV risk","Peak Dec/Jan; year-round pediatric baseline","Descriptive proportions; logistic regression used but exact adjusted estimates not in source summary","Logistic regression reported","Single-center pediatric study; summary lacks full adjusted table","Pediatric hospital-acquired influenza and related viral disease can deteriorate rapidly, especially in young children with comorbidity and paradoxical breathing","Useful for pediatric CodeBlue rules, bedside deterioration triggers, and pediatric seasonal preparedness","risk_profile|ward_vuln|pediatrics|rapid_escalation"
"jimenez_juarez_2025_f03","jimenez_juarez_2025","Jiménez-Juárez et al. (2025) DOI: 10.3390/v17060771","Mexico","Tertiary pediatric hospital","212 children","Retrospective cohort","pediatric_influenza_plus_other_respiratory_viruses","influenza_a_h1n1|influenza_a_h3n2|influenza|rsv|rhinovirus","shared_both","shared_context","study_reported_implication","Nosocomial acquisition post-admission; associated with MV risk","PCR; logistic regression","Pediatric hospital cohort","Within-cohort severity comparisons","Pediatric hospital-acquired influenza and related viral disease can deteriorate rapidly, especially in young children with comorbidity and paradoxical breathing","Paradoxical breathing and hypotension as bedside escalation context","Nosocomial status; neuro/cardiac comorbidity; age 1-4 years peak vulnerability","Leukocytes 12.6k; neutrophils 49-59%; paradoxical breathing; hypotension","NR","NR","21.2% MV overall; mortality 10.3% in infants <1 year; median stay 6-16 days","High PICU and ventilator reliance","Bacterial coinfection increased MV risk","Peak Dec/Jan; year-round pediatric baseline","Descriptive proportions; logistic regression used but exact adjusted estimates not in source summary","Logistic regression reported","Single-center pediatric study; summary lacks full adjusted table","Pediatric hospital-acquired influenza and related viral disease can deteriorate rapidly, especially in young children with comorbidity and paradoxical breathing","Useful for pediatric CodeBlue rules, bedside deterioration triggers, and pediatric seasonal preparedness","risk_profile|ward_vuln|pediatrics|rapid_escalation"
"jimenez_juarez_2025_f04","jimenez_juarez_2025","Jiménez-Juárez et al. (2025) DOI: 10.3390/v17060771","Mexico","Tertiary pediatric hospital","212 children","Retrospective cohort","pediatric_influenza_plus_other_respiratory_viruses","influenza_a_h1n1|influenza_a_h3n2|influenza|rsv|rhinovirus","shared_both","shared_context","comparative_findings","Nosocomial acquisition post-admission; associated with MV risk","PCR; logistic regression","Pediatric hospital cohort","Within-cohort severity comparisons","Shared deterioration features across pediatric respiratory viruses","Paradoxical breathing and hypotension as bedside escalation context","Nosocomial status; neuro/cardiac comorbidity; age 1-4 years peak vulnerability","Leukocytes 12.6k; neutrophils 49-59%; paradoxical breathing; hypotension","NR","NR","21.2% MV overall; mortality 10.3% in infants <1 year; median stay 6-16 days","High PICU and ventilator reliance","Bacterial coinfection increased MV risk","Peak Dec/Jan; year-round pediatric baseline","Descriptive proportions; logistic regression used but exact adjusted estimates not in source summary","Logistic regression reported","Single-center pediatric study; summary lacks full adjusted table","Pediatric hospital-acquired influenza and related viral disease can deteriorate rapidly, especially in young children with comorbidity and paradoxical breathing","Useful for pediatric CodeBlue rules, bedside deterioration triggers, and pediatric seasonal preparedness","risk_profile|ward_vuln|pediatrics|rapid_escalation"
"ha_rvi_study_2025_f01","ha_rvi_study_2025","HA-RVI Study (2025) DOI: 10.1111/tid.70135","NR","Tertiary academic center","10-year longitudinal cohort","Retrospective EHR cohort","mixed_hospital_acquired_respiratory_viral_infections","influenza","influenza_only","pathogen_specific_finding","influenza_specific_findings","Positive result >=72h post-admission","EHR plus PCR records","10-year longitudinal","HA-flu vs CA-flu; mixed HA-RVI comparisons","Flu 6.6%; HA-flu associated with higher MV/RRT and higher in-hospital death than CA-flu; 2x more likely in cancer patients","New onset on oncology/SCT ward indicates acquisition context","Cancer 24.3%; chemotherapy within 30 days; SCT within 1 year","Immunocompromised status focus","High-risk oncology/SCT ward structure implicit","Ward-based clustering on oncology/SCT services","High dialysis and ventilation demand; increased stay duration; higher in-hospital death vs CA-flu","Systemic strain on SCT wards","Bacterial overlap increased severity","Year-round threat in high-risk SCT patients","p<0.05 for higher MV/RRT; p<0.01 for higher in-hospital death vs CA-flu","Adjusted status not fully clear from summary","Single-center high-risk population likely limits generalizability","Hospital-acquired respiratory viral infection is particularly severe in cancer/SCT populations and worse than community-acquired influenza in key outcomes","Strong support for ward vulnerability and high-risk oncology/SCT surveillance logic","ward_vuln|project_justification|immunocompromised|pathogen_pack"
"ha_rvi_study_2025_f02","ha_rvi_study_2025","HA-RVI Study (2025) DOI: 10.1111/tid.70135","NR","Tertiary academic center","10-year longitudinal cohort","Retrospective EHR cohort","mixed_hospital_acquired_respiratory_viral_infections","rsv|parainfluenza","non_influenza_only","pathogen_specific_finding","non_influenza_findings","Positive result >=72h post-admission","EHR plus PCR records","10-year longitudinal","HA-flu vs CA-flu; mixed HA-RVI comparisons","RSV 12.2%; PIV 10.9%; increased life-support needs in HA-RVI","New onset on oncology/SCT ward indicates acquisition context","Cancer 24.3%; chemotherapy within 30 days; SCT within 1 year","Immunocompromised status focus","High-risk oncology/SCT ward structure implicit","Ward-based clustering on oncology/SCT services","High dialysis and ventilation demand; increased stay duration; higher in-hospital death vs CA-flu","Systemic strain on SCT wards","Bacterial overlap increased severity","Year-round threat in high-risk SCT patients","p<0.05 for higher MV/RRT; p<0.01 for higher in-hospital death vs CA-flu","Adjusted status not fully clear from summary","Single-center high-risk population likely limits generalizability","Hospital-acquired respiratory viral infection is particularly severe in cancer/SCT populations and worse than community-acquired influenza in key outcomes","Strong support for ward vulnerability and high-risk oncology/SCT surveillance logic","ward_vuln|project_justification|immunocompromised|pathogen_pack"
"ha_rvi_study_2025_f03","ha_rvi_study_2025","HA-RVI Study (2025) DOI: 10.1111/tid.70135","NR","Tertiary academic center","10-year longitudinal cohort","Retrospective EHR cohort","mixed_hospital_acquired_respiratory_viral_infections","influenza|rsv|parainfluenza","shared_both","shared_context","study_reported_implication","Positive result >=72h post-admission","EHR plus PCR records","10-year longitudinal","HA-flu vs CA-flu; mixed HA-RVI comparisons","Hospital-acquired respiratory viral infection is particularly severe in cancer/SCT populations and worse than community-acquired influenza in key outcomes","New onset on oncology/SCT ward indicates acquisition context","Cancer 24.3%; chemotherapy within 30 days; SCT within 1 year","Immunocompromised status focus","High-risk oncology/SCT ward structure implicit","Ward-based clustering on oncology/SCT services","High dialysis and ventilation demand; increased stay duration; higher in-hospital death vs CA-flu","Systemic strain on SCT wards","Bacterial overlap increased severity","Year-round threat in high-risk SCT patients","p<0.05 for higher MV/RRT; p<0.01 for higher in-hospital death vs CA-flu","Adjusted status not fully clear from summary","Single-center high-risk population likely limits generalizability","Hospital-acquired respiratory viral infection is particularly severe in cancer/SCT populations and worse than community-acquired influenza in key outcomes","Strong support for ward vulnerability and high-risk oncology/SCT surveillance logic","ward_vuln|project_justification|immunocompromised|pathogen_pack"
"ha_rvi_study_2025_f04","ha_rvi_study_2025","HA-RVI Study (2025) DOI: 10.1111/tid.70135","NR","Tertiary academic center","10-year longitudinal cohort","Retrospective EHR cohort","mixed_hospital_acquired_respiratory_viral_infections","influenza|rsv|parainfluenza","comparative","comparative_interpretation","comparative_findings","Positive result >=72h post-admission","EHR plus PCR records","10-year longitudinal","HA-flu vs CA-flu; mixed HA-RVI comparisons","Broad comparison of hospital-acquired respiratory viruses and community-acquired flu","New onset on oncology/SCT ward indicates acquisition context","Cancer 24.3%; chemotherapy within 30 days; SCT within 1 year","Immunocompromised status focus","High-risk oncology/SCT ward structure implicit","Ward-based clustering on oncology/SCT services","High dialysis and ventilation demand; increased stay duration; higher in-hospital death vs CA-flu","Systemic strain on SCT wards","Bacterial overlap increased severity","Year-round threat in high-risk SCT patients","p<0.05 for higher MV/RRT; p<0.01 for higher in-hospital death vs CA-flu","Adjusted status not fully clear from summary","Single-center high-risk population likely limits generalizability","Hospital-acquired respiratory viral infection is particularly severe in cancer/SCT populations and worse than community-acquired influenza in key outcomes","Strong support for ward vulnerability and high-risk oncology/SCT surveillance logic","ward_vuln|project_justification|immunocompromised|pathogen_pack"
"fan_2025_f01","fan_2025","Fan et al. (2025) PMID: 39912067","China","Beijing Ditan Hospital","1051 adults","Retrospective ML study","influenza_and_covid_with_drug_resistant_pathogen_focus","influenza","influenza_only","pathogen_specific_finding","influenza_specific_findings","HA-DRP detected >=48h post-admission","Machine learning with SHAP and neural nets","2018-2024 seasonal waves","975 flu cases screened vs 1224 COVID cases screened","Flu cohort included in DRP-risk modeling","Hospital-acquired DRP acquisition in already ill viral inpatients","Age >66; indwelling catheters; MV use; LOS","Albumin <35 g/L; low cholinesterase; SHAP top variables CHE, albumin, age","NR","NR","DRP group had universal deterioration in study framing; DRPs linked to mortality and severity","Demand for ICVC and ventilators","High antibiotic use drives resistance; P. aeruginosa 16.4%; K. pneumoniae 16.1%","2018-2024 seasonal waves","SHAP ranking identified top variables; neural nets used; exact AUC not in source summary","ML explainability framework used","Focuses on DRPs rather than pure influenza outcomes; summary lacks full performance details","Hospital-acquired drug-resistant pathogens in viral respiratory disease can be predicted from routine clinical variables and materially worsen severity","Very useful for stewardship and bacterial-overlap module linked to influenza pathways","stewardship|pathogen_pack|drp|coinfection"
"fan_2025_f02","fan_2025","Fan et al. (2025) PMID: 39912067","China","Beijing Ditan Hospital","1051 adults","Retrospective ML study","influenza_and_covid_with_drug_resistant_pathogen_focus","sars_cov_2","non_influenza_only","pathogen_specific_finding","non_influenza_findings","HA-DRP detected >=48h post-admission","Machine learning with SHAP and neural nets","2018-2024 seasonal waves","975 flu cases screened vs 1224 COVID cases screened","Parallel COVID cohort included in DRP-risk modeling","Hospital-acquired DRP acquisition in already ill viral inpatients","Age >66; indwelling catheters; MV use; LOS","Albumin <35 g/L; low cholinesterase; SHAP top variables CHE, albumin, age","NR","NR","DRP group had universal deterioration in study framing; DRPs linked to mortality and severity","Demand for ICVC and ventilators","High antibiotic use drives resistance; P. aeruginosa 16.4%; K. pneumoniae 16.1%","2018-2024 seasonal waves","SHAP ranking identified top variables; neural nets used; exact AUC not in source summary","ML explainability framework used","Focuses on DRPs rather than pure influenza outcomes; summary lacks full performance details","Hospital-acquired drug-resistant pathogens in viral respiratory disease can be predicted from routine clinical variables and materially worsen severity","Very useful for stewardship and bacterial-overlap module linked to influenza pathways","stewardship|pathogen_pack|drp|coinfection"
"fan_2025_f03","fan_2025","Fan et al. (2025) PMID: 39912067","China","Beijing Ditan Hospital","1051 adults","Retrospective ML study","influenza_and_covid_with_drug_resistant_pathogen_focus","influenza|sars_cov_2","shared_both","shared_context","study_reported_implication","HA-DRP detected >=48h post-admission","Machine learning with SHAP and neural nets","2018-2024 seasonal waves","975 flu cases screened vs 1224 COVID cases screened","Hospital-acquired drug-resistant pathogens in viral respiratory disease can be predicted from routine clinical variables and materially worsen severity","Hospital-acquired DRP acquisition in already ill viral inpatients","Age >66; indwelling catheters; MV use; LOS","Albumin <35 g/L; low cholinesterase; SHAP top variables CHE, albumin, age","NR","NR","DRP group had universal deterioration in study framing; DRPs linked to mortality and severity","Demand for ICVC and ventilators","High antibiotic use drives resistance; P. aeruginosa 16.4%; K. pneumoniae 16.1%","2018-2024 seasonal waves","SHAP ranking identified top variables; neural nets used; exact AUC not in source summary","ML explainability framework used","Focuses on DRPs rather than pure influenza outcomes; summary lacks full performance details","Hospital-acquired drug-resistant pathogens in viral respiratory disease can be predicted from routine clinical variables and materially worsen severity","Very useful for stewardship and bacterial-overlap module linked to influenza pathways","stewardship|pathogen_pack|drp|coinfection"
"fan_2025_f04","fan_2025","Fan et al. (2025) PMID: 39912067","China","Beijing Ditan Hospital","1051 adults","Retrospective ML study","influenza_and_covid_with_drug_resistant_pathogen_focus","influenza|sars_cov_2","comparative","comparative_interpretation","comparative_findings","HA-DRP detected >=48h post-admission","Machine learning with SHAP and neural nets","2018-2024 seasonal waves","975 flu cases screened vs 1224 COVID cases screened","Comparative viral cohorts for hospital-acquired drug-resistant pathogen risk","Hospital-acquired DRP acquisition in already ill viral inpatients","Age >66; indwelling catheters; MV use; LOS","Albumin <35 g/L; low cholinesterase; SHAP top variables CHE, albumin, age","NR","NR","DRP group had universal deterioration in study framing; DRPs linked to mortality and severity","Demand for ICVC and ventilators","High antibiotic use drives resistance; P. aeruginosa 16.4%; K. pneumoniae 16.1%","2018-2024 seasonal waves","SHAP ranking identified top variables; neural nets used; exact AUC not in source summary","ML explainability framework used","Focuses on DRPs rather than pure influenza outcomes; summary lacks full performance details","Hospital-acquired drug-resistant pathogens in viral respiratory disease can be predicted from routine clinical variables and materially worsen severity","Very useful for stewardship and bacterial-overlap module linked to influenza pathways","stewardship|pathogen_pack|drp|coinfection"
"liddy_2025_f01","liddy_2025","Liddy et al. (2025) DOI: 10.1097/CCE.1289","Ireland","National sepsis dataset","100941 sepsis events","Retrospective national cohort","flu_pneumonia_and_sars_cov_2_within_ha_sepsis","influenza","influenza_only","pathogen_specific_finding","influenza_specific_findings","HA-sepsis onset >=2 days post-admission","ICD-10-AM coding","National longitudinal dataset","HA vs CA sepsis; pathogen-category comparisons","Flu/pneumonia accounted for 28.9% of HA-sepsis and had OR 1.86 for death","Sepsis after surgery/device or during admission","Underlying multimorbidity; Medical Card proxy; cardiac disease for non-flu comparison","NR","NR","NR","46.9% required critical care; 24.4% mortality; median stay 27d; ICU 9d","Massive systemic sepsis strain","Secondary bacterial sepsis high risk","IPC-related decline 2020-2022","OR 1.86 death for flu/pneumonia; OR 2.34 for SARS-CoV-2; AOR 1.52 for HA death","Adjusted analysis present","Administrative coding may blur microbiologic specificity","HA-sepsis due to respiratory viral syndromes carries major mortality and critical care burden at national scale","Useful as problem-justification and severity-burden evidence, though not influenza-specific enough for fine pathogen-pack detail","resource_strain|problem_justification|sepsis|mortality"
"liddy_2025_f02","liddy_2025","Liddy et al. (2025) DOI: 10.1097/CCE.1289","Ireland","National sepsis dataset","100941 sepsis events","Retrospective national cohort","flu_pneumonia_and_sars_cov_2_within_ha_sepsis","sars_cov_2","non_influenza_only","pathogen_specific_finding","non_influenza_findings","HA-sepsis onset >=2 days post-admission","ICD-10-AM coding","National longitudinal dataset","HA vs CA sepsis; pathogen-category comparisons","SARS-CoV-2 had OR 2.34 for death; HA share 14.8% of all sepsis","Sepsis after surgery/device or during admission","Underlying multimorbidity; Medical Card proxy; cardiac disease for non-flu comparison","NR","NR","NR","46.9% required critical care; 24.4% mortality; median stay 27d; ICU 9d","Massive systemic sepsis strain","Secondary bacterial sepsis high risk","IPC-related decline 2020-2022","OR 1.86 death for flu/pneumonia; OR 2.34 for SARS-CoV-2; AOR 1.52 for HA death","Adjusted analysis present","Administrative coding may blur microbiologic specificity","HA-sepsis due to respiratory viral syndromes carries major mortality and critical care burden at national scale","Useful as problem-justification and severity-burden evidence, though not influenza-specific enough for fine pathogen-pack detail","resource_strain|problem_justification|sepsis|mortality"
"liddy_2025_f03","liddy_2025","Liddy et al. (2025) DOI: 10.1097/CCE.1289","Ireland","National sepsis dataset","100941 sepsis events","Retrospective national cohort","flu_pneumonia_and_sars_cov_2_within_ha_sepsis","influenza|sars_cov_2","shared_both","shared_context","study_reported_implication","HA-sepsis onset >=2 days post-admission","ICD-10-AM coding","National longitudinal dataset","HA vs CA sepsis; pathogen-category comparisons","HA-sepsis due to respiratory viral syndromes carries major mortality and critical care burden at national scale","Sepsis after surgery/device or during admission","Underlying multimorbidity; Medical Card proxy; cardiac disease for non-flu comparison","NR","NR","NR","46.9% required critical care; 24.4% mortality; median stay 27d; ICU 9d","Massive systemic sepsis strain","Secondary bacterial sepsis high risk","IPC-related decline 2020-2022","OR 1.86 death for flu/pneumonia; OR 2.34 for SARS-CoV-2; AOR 1.52 for HA death","Adjusted analysis present","Administrative coding may blur microbiologic specificity","HA-sepsis due to respiratory viral syndromes carries major mortality and critical care burden at national scale","Useful as problem-justification and severity-burden evidence, though not influenza-specific enough for fine pathogen-pack detail","resource_strain|problem_justification|sepsis|mortality"
"liddy_2025_f04","liddy_2025","Liddy et al. (2025) DOI: 10.1097/CCE.1289","Ireland","National sepsis dataset","100941 sepsis events","Retrospective national cohort","flu_pneumonia_and_sars_cov_2_within_ha_sepsis","influenza|sars_cov_2","shared_both","shared_context","comparative_findings","HA-sepsis onset >=2 days post-admission","ICD-10-AM coding","National longitudinal dataset","HA vs CA sepsis; pathogen-category comparisons","Flu/pneumonia and SARS-CoV-2 both caused high critical care burden","Sepsis after surgery/device or during admission","Underlying multimorbidity; Medical Card proxy; cardiac disease for non-flu comparison","NR","NR","NR","46.9% required critical care; 24.4% mortality; median stay 27d; ICU 9d","Massive systemic sepsis strain","Secondary bacterial sepsis high risk","IPC-related decline 2020-2022","OR 1.86 death for flu/pneumonia; OR 2.34 for SARS-CoV-2; AOR 1.52 for HA death","Adjusted analysis present","Administrative coding may blur microbiologic specificity","HA-sepsis due to respiratory viral syndromes carries major mortality and critical care burden at national scale","Useful as problem-justification and severity-burden evidence, though not influenza-specific enough for fine pathogen-pack detail","resource_strain|problem_justification|sepsis|mortality"
"bonin_2025_f01","bonin_2025","Bonin et al. (2025) DOI: 10.57187/s.4324","Switzerland","Regional hospital network / Swiss regional setting","8135 tests","Retrospective cohort","flu_and_rsv_nosocomial_testing_cohort","influenza","influenza_only","pathogen_specific_finding","influenza_specific_findings","Nosocomial >=48h post-admission","Quadrivalent PCR","Testing cohort with pandemic-era temporal effects","Flu/RSV descriptive comparison","Dual Flu/RSV was rare; flu mimicked bacterial HAP in resource use","Deterioration around day 4 of stay; RSV noted explicitly","Cardiac disease; pulmonary disease; anemia","Quadrivalent PCR confirmation; 39% had pulmonary infiltrates","NR","NR","Mean stay 8 days; ICU/intermediate care 8.9%; RSV mortality 6%","Resource use mirrored bacterial HAP","Flu and RSV may mimic bacterial HAP; differential testing important","Pandemic suppression shifted cycles","Descriptive testing and positivity measures","Not clear if adjusted","Regional and testing-based dataset; not all findings influenza-specific","Quadrivalent PCR surveillance improves recognition of viral inpatient disease that can resemble bacterial HAP","Good for differential diagnosis, adult RSV comparison, and diagnostic-gap logic","dx_gap|resource_strain|differential_diagnosis|rsv"
"bonin_2025_f02","bonin_2025","Bonin et al. (2025) DOI: 10.57187/s.4324","Switzerland","Regional hospital network / Swiss regional setting","8135 tests","Retrospective cohort","flu_and_rsv_nosocomial_testing_cohort","rsv","non_influenza_only","pathogen_specific_finding","non_influenza_findings","Nosocomial >=48h post-admission","Quadrivalent PCR","Testing cohort with pandemic-era temporal effects","Flu/RSV descriptive comparison","RSV positivity 2.8%; 77% test surge; RSV inpatients had 6% mortality and 8.9% ICU/intermediate care","Deterioration around day 4 of stay; RSV noted explicitly","Cardiac disease; pulmonary disease; anemia","Quadrivalent PCR confirmation; 39% had pulmonary infiltrates","NR","NR","Mean stay 8 days; ICU/intermediate care 8.9%; RSV mortality 6%","Resource use mirrored bacterial HAP","Flu and RSV may mimic bacterial HAP; differential testing important","Pandemic suppression shifted cycles","Descriptive testing and positivity measures","Not clear if adjusted","Regional and testing-based dataset; not all findings influenza-specific","Quadrivalent PCR surveillance improves recognition of viral inpatient disease that can resemble bacterial HAP","Good for differential diagnosis, adult RSV comparison, and diagnostic-gap logic","dx_gap|resource_strain|differential_diagnosis|rsv"
