pack_id,canonical_feature_name,priority_tier,default_use_stage,factor_role,feature_class,pathogen_relevance,source_basis,finding_text,codeblue_translation,caution_note,data_status
influenza_hai_v1,patient_annual_influenza_vaccination,very_high,admission_and_prevention,protective,vaccination,Direct protective factor against influenza and complications,CDC Flu Infection Control 2025,CDC says annual influenza vaccination is the most important measure to prevent seasonal influenza,Treat current-season patient vaccination as a top protective feature,Protective status does not rule out influenza,ready
influenza_hai_v1,hcw_vaccination_coverage,very_high,ward_context,protective,vaccination_program,Indirect protection against healthcare transmission,CDC Flu Infection Control 2025,CDC says high influenza vaccination rates among HCP and patients are critical to preventing healthcare transmission,Treat ward/facility HCW coverage as a major protective contextual feature,Usually ward/facility-level rather than bedside-level input,ready
influenza_hai_v1,age_65_plus,very_high,severity_escalation,severity_associated,host_factor,Older adults are at higher risk of serious complications,CDC High Risk 2024,CDC lists adults 65 years and older among people at increased risk for serious flu complications,Escalate review priority for older inpatients,"Risk for complications, not proof of acquisition",ready
influenza_hai_v1,pregnancy_or_up_to_2_weeks_postpartum,very_high,severity_escalation,severity_associated,host_factor,Pregnancy and immediate postpartum period increase complication risk,CDC High Risk 2024,"CDC lists pregnant women, including up to 2 weeks after the end of pregnancy, as higher risk",Use as a top-tier vulnerability modifier,Complication-risk feature,ready
influenza_hai_v1,asthma_or_chronic_lung_disease,high,severity_escalation,severity_associated,comorbidity,Chronic respiratory disease increases complication risk,CDC High Risk 2024,CDC lists asthma and chronic lung disease such as COPD and cystic fibrosis among higher-risk conditions,Escalate severity and treatment review,Complication-risk feature,ready
influenza_hai_v1,immunosuppression_or_chronic_corticosteroids,very_high,severity_and_prolonged_course,severity_associated,immunologic_risk,Weakened immune systems are higher risk and may remain contagious longer,CDC High Risk 2024; CDC Flu Spread 2024,"CDC lists weakened immune systems, including chronic corticosteroids, as higher risk and notes some may be contagious longer",Use as both a high-severity and prolonged-shedding modifier,"This affects timing and severity, not just acquisition",ready
influenza_hai_v1,heart_disease_or_stroke,high,severity_escalation,severity_associated,comorbidity,Cardiovascular disease and prior stroke increase complication risk,CDC High Risk 2024,CDC lists heart disease and stroke among higher-risk conditions,Escalate treatment and monitoring priority,Complication-risk feature,ready
influenza_hai_v1,kidney_or_liver_or_metabolic_disorders,high,severity_escalation,severity_associated,comorbidity,Chronic-organ disorders increase complication risk,CDC High Risk 2024,"CDC lists kidney disorders, liver disorders, and metabolic disorders among higher-risk conditions",Use as important host-vulnerability modifiers,Grouped for pack simplicity; can be split later,ready
influenza_hai_v1,endocrine_disorders_including_diabetes,high,severity_escalation,severity_associated,comorbidity,Endocrine disorders such as diabetes increase complication risk,CDC High Risk 2024,CDC lists endocrine disorders such as diabetes mellitus among higher-risk conditions,Use as a core vulnerability feature,Complication-risk feature,ready
influenza_hai_v1,neurologic_or_neurodevelopmental_conditions,high,severity_escalation,severity_associated,comorbidity,Neurologic conditions increase complication risk,CDC High Risk 2024,CDC lists neurologic and neurodevelopment conditions among higher-risk conditions,Escalate clinical review and monitoring,Complication-risk feature,ready
influenza_hai_v1,blood_disorders,medium,severity_escalation,severity_associated,comorbidity,Blood disorders increase complication risk,CDC High Risk 2024,CDC lists blood disorders such as sickle cell disease among higher-risk conditions,Use as a moderate-to-high host-risk feature,Complication-risk feature,ready
influenza_hai_v1,bmi_40_or_higher,medium,severity_escalation,severity_associated,host_factor,Severe obesity increases complication risk,CDC High Risk 2024,CDC lists BMI of 40 kg/m² or higher among higher-risk conditions,Use as a host-risk modifier,Complication-risk feature,ready
influenza_hai_v1,nursing_home_or_long_term_care_residence,medium,importation_and_severity_context,severity_associated,living_context,Congregate living raises concern for vulnerability and importation,CDC High Risk 2024,CDC lists people who live in nursing homes and other long-term care facilities among higher-risk groups,Use as a contextual importation-risk and vulnerability feature,Context feature rather than direct biologic host factor,ready
influenza_hai_v1,age_under_2,pediatric_only,pediatric_escalation,severity_associated,host_factor,Young children are at higher risk of serious complications,CDC High Risk 2024,CDC lists children younger than 2 years old as higher risk,Use only if pediatric inpatient areas are in scope,Can be ignored in adult-only deployment,ready_partial