trigger_id,trigger_name,trigger_type,input_source,logic_definition,trigger_window,priority,,primary_action_family,secondary_action_family,related_features,rationale,recommended_source_basis,status
,,,,,,,,,,,,,
respiratory_symptoms_at_arrival,Respiratory symptoms at arrival or registration,symptom_entry_trigger,registration_triage_and_frontline_screening,"New arrival reports cough, fever, runny nose, sore throat, myalgia, or other compatible respiratory symptoms",Immediate / current shift,high,,screen_and_mask_symptomatic_person,rapid_influenza_test_review,symptom_presence; arrival_location; waiting_area_density; destination_ward_vulnerability,This is the first operational source-control trigger and should act before admission or waiting-area exposure expands,CDC Flu Infection Control 2025,ready
suspected_or_confirmed_inpatient_influenza,Suspected or confirmed inpatient influenza,case_detection,clinical_assessment_plus_virology_feed,"New inpatient suspicion or confirmation of influenza based on symptoms, clinician judgment, or testing",Immediate,critical,,implement_droplet_precautions_review,private_room_or_cohort_review,case_status; symptom_onset; patient_location; current_precaution_status,"This is the main inpatient influenza trigger and should immediately route isolation, rooming, and treatment review",CDC Flu Infection Control 2025,ready
same_room_exposure_to_confirmed_case,Same-room exposure to confirmed case,direct_exposure,room_time_event_history,Patient shared the same room with a confirmed influenza case during the configured exposure window,Next 24-48h,critical,,postexposure_prophylaxis_review,private_room_or_cohort_review,same_room_exposure; exposure_timing; room_sharing; ward_vulnerability,This is one of the strongest operationally actionable exposure signals and is central to CodeBlue’s protect-the-clean-vulnerable-zone logic,Cho 2024 plus internal CodeBlue adaptive policy bridge,ready
same_unit_exposure_to_confirmed_case,Same-unit exposure to confirmed case,direct_exposure,unit_time_event_history,Patient co-located on the same ward or unit with a confirmed influenza case during the configured exposure window,Next 24-48h,high,,rapid_influenza_test_review,implement_droplet_precautions_review,same_unit_exposure; ward_context; ward_cluster_state,This is the ward-level exposure trigger for broader surveillance and early testing when same-room data are absent or spread may already be broader,Cho 2024 plus internal CodeBlue adaptive policy bridge,ready
single_room_unavailable_for_influenza_case,Single room unavailable for influenza case,capacity_constraint,bed_management_system,Suspected or confirmed influenza patient cannot be placed immediately in a single room or fully preferred placement,Immediate,critical,,multi_bed_room_contingency_review,private_room_or_cohort_review,room_capacity; roommate_profile; barrier_feasibility; masking_feasibility,This exists so the system routes into an approved fallback bundle rather than doing nothing when ideal IPC placement is impossible,CDC Flu Infection Control 2025 plus contingency-rooming logic from Cazzorla 2022,ready
ill_hcp_detected,Ill healthcare worker with fever and respiratory symptoms,staff_illness_trigger,occupational_health_plus_supervisor_report,HCP develops febrile respiratory illness before or during work and may expose patients or coworkers,Immediate,critical,,staff_work_restriction_review,cross_coverage_restriction_review,symptoms; work_assignment; current_shift_status; multi_ward_cross_coverage,This is the main staff-vector trigger and should route immediate human review rather than passive monitoring,CDC Flu Infection Control 2025 plus CDC Core Practices 2024,ready
hcp_returns_with_residual_respiratory_symptoms,HCP returns with residual respiratory symptoms,post_return_staff_source_control,occupational_health_plus_supervisor,HCP has returned to work after fever resolution but still has cough or sneezing,Current shift / upon return,medium,,staff_masking_escalation_review,staff_work_restriction_review,residual_symptoms; patient_facing_role; ward_vulnerability,"This is a narrower follow-on trigger for ongoing source-control after return, especially in patient-facing settings",CDC Flu Infection Control 2025,ready
exposed_hcp_assigned_to_high_vulnerability_ward,Exposed HCP assigned to high-vulnerability ward,staff_assignment_risk,staffing_system_plus_exposure_engine,"Exposed or recently ill HCP is scheduled to work in oncology, transplant, hematology, ICU, neonatal, or other high-vulnerability service",Immediate / next shift,high,,cross_coverage_restriction_review,staff_work_restriction_review,hcp_exposure_status; downstream_assignments; ward_vulnerability; staffing_pressure,This captures one of CodeBlue’s core adaptive criteria: preventing staff-mediated movement of pathogen into still-clean vulnerable zones,Internal CodeBlue policy logic supported by CDC HCP management principles,ready
ward_cluster_signal,Ward cluster signal,cluster_detection,surveillance_engine,Two or more likely linked healthcare-associated influenza cases are detected on the same ward or unit within a short rolling window,Next 24h,critical,,outbreak_escalation_review,staff_masking_escalation_review,case_count; timeframe; linkage_plausibility; ward_location,This is the main ward-level outbreak trigger and should shift the system from individual review to coordinated service-level response,CDC Flu Infection Control 2025 plus internal outbreak-governance logic,ready
patient_transport_under_precautions,Transport or movement of influenza patient,movement_control_trigger,adt_and_transport_workflow,"Patient under influenza precautions must leave room for transfer, imaging, procedure, or inter-facility movement",Before movement,high,,transport_precaution_review,implement_droplet_precautions_review,transport_need; destination; patient_mask_tolerance; case_status,This trigger captures a common leakage point where spread can occur unless precautions and handoff are maintained,CDC Flu Infection Control 2025,ready
visitor_request_while_patient_infectious,Visitor request while patient remains infectious,visitor_management_trigger,visitor_request_plus_unit_policy,In-person visit is requested while the patient remains in the infectious period for influenza,Before visit,medium,,visitor_management_review,implement_droplet_precautions_review,patient_infectious_status; unit_type; visitor_status,Visitor flow needs explicit review because visitation can amplify exposure risk in vulnerable wards and during clusters,CDC Flu Infection Control 2025 plus CDC Core Practices 2024,ready
planned_or_emergent_agp,Planned or emergent aerosol-generating procedure on influenza patient,procedure_risk_trigger,procedure_schedule_or_emergent_event,"Bronchoscopy, intubation, CPR, suctioning, or similar AGP is planned or occurring on suspected or confirmed influenza patient",Immediate / procedure window,critical,,agp_precaution_review,implement_droplet_precautions_review,procedure_type; room_type; case_status; ppe_availability,AGPs create a different exposure class and require enhanced procedural review rather than ordinary bedside precautions,CDC Flu Infection Control 2025,ready
treatment_or_prophylaxis_consideration,Treatment or chemoprophylaxis consideration,clinical_management_trigger,clinical_team_plus_exposure_review,Influenza treatment or post-exposure prophylaxis review is clinically indicated for a patient or exposed person,Same day,high,,antiviral_treatment_review,postexposure_prophylaxis_review,diagnosis_status; exposure_type; exposure_timing; renal_function; medication_profile,"This is the antiviral decision bridge, but it remains review-only and never auto-prescribes medication",CDC Antivirals 2026,ready
persistent_symptoms_or_shedding_beyond_default_window,Persistent symptoms or shedding beyond default window,prolonged_course_trigger,clinical_followup_plus_repeat_testing,"Persistent symptoms, repeated positive testing, or strong clinical concern suggests prolonged infectiousness beyond the default influenza window",Daily after default window,high,,prolonged_shedding_review,implement_droplet_precautions_review,symptom_persistence; repeat_testing; immune_status; treatment_course,This is the time-aware trigger that prevents default timing rules from prematurely downgrading complex cases,CDC Flu Infection Control 2025 plus influenza prolonged-shedding evidence already routed into the pack,ready
protective_environment_hcp_assignment,HCP assignment to protective-environment patients after recent influenza illness,special_population_staff_trigger,occupational_health_plus_unit_assignment,"HCP with recent influenza symptoms, recovery, or recent exposure may return to care for HSCT or other protective-environment patients",Before assignment or return,critical,,staff_work_restriction_review,cross_coverage_restriction_review,high_vulnerability_ward_assignment; recent_hcp_illness; staff_movement_between_units,This is a special-population exception where stricter review is justified because downstream consequences are disproportionate,CDC Flu Infection Control 2025 plus CDC protective-environment exception logic,ready
manual_clinician_or_ipc_override,Manual clinician or IPC override,manual_override,user_input,"Clinician, unit lead, or IPC specialist manually flags a patient, room, staff member, or ward for review",Any time,high,,outbreak_escalation_review,rapid_influenza_test_review,manual_flag; override_reason; flagged_entity,"Preserves human-in-the-loop control, auditability, and the ability to act on context the automated layer has not captured",Internal CodeBlue governance rule,ready
deployment_prealert_window_active,Deployment pre-alert window active,deployment_seasonality_trigger,deployment_seasonality_profile,Current date is on or after the local pre-alert start month and before the high-alert start month,current day / current week,medium,,activate_screening_triage_and_visual_alerts,annual_vaccination_program_and_coverage_tracking,seasonality_profile_id; pre_alert_start_month; current_date,This gives the hospital a configurable early-vigilance phase before the local peak begins,Local deployment profile plus hospital governance,ready
deployment_high_alert_window_active,Deployment high-alert window active,deployment_seasonality_trigger,deployment_seasonality_profile,Current date falls inside the locally defined high-alert influenza window,current day / current week,high,,activate_screening_triage_and_visual_alerts,staff_masking_escalation_review,seasonality_profile_id; high_alert_start_month; high_alert_end_month; current_date,This is the configurable local seasonal activation trigger and replaces hardcoded state logic,Local deployment profile plus official regional seasonality source,ready
elevated_current_community_activity,Elevated current community activity,current_epi_trigger,current_epidemiology_status,Current community influenza activity has been set to moderate or high,current week,high,,activate_screening_triage_and_visual_alerts,rapid_influenza_test_review,community_activity_level; active_override_flag,This lets the hospital intensify action based on current local epidemiology rather than calendar alone,Current epidemiology status feed,ready
elevated_current_hospital_burden,Elevated current hospital respiratory or influenza burden,current_epi_trigger,current_epidemiology_status,Hospital respiratory burden or influenza-specific burden has been set to moderate or high,current week,high,,outbreak_escalation_review,staff_masking_escalation_review,hospital_respiratory_burden; influenza_specific_hospital_burden; active_override_flag,This captures live hospital pressure and prevents overreliance on seasonality calendars,Current hospital epidemiology input,ready
manual_epidemiology_override,Manual epidemiology override,deployment_override,current_epidemiology_status,Active override flag is true because local epidemiology is atypical or off-season activity is under review,immediate,high,,outbreak_escalation_review,rapid_influenza_test_review,active_override_flag; override_reason; unusual_offseason_activity,This preserves human control when local patterns diverge from the normal seasonal profile,Current epidemiology status with human review,ready